u1,a1,d1,u2,a2,d2,threshold,accuracy,balanced_accuracy,recall_sensitivity,specificity,precision_ppv,npv,f1_positive,screening_score,TP,FP,TN,FN,n_seeds_ensemble
32,relu,0.3,8,tanh,0.0,0.45,0.7515923566878981,0.678804635566798,0.5617977528089888,0.7958115183246073,0.390625,0.8862973760932945,0.4608294930875576,0.5680818540796517,100,156,608,78,3
32,relu,0.2,8,tanh,0.1,0.45,0.7653927813163482,0.6851579504676746,0.5561797752808989,0.8141361256544503,0.4107883817427386,0.8873038516405135,0.47255369928400953,0.5674362709644379,99,142,622,79,3
64,relu,0.3,16,relu,0.1,0.45,0.7791932059447984,0.6915112653685511,0.550561797752809,0.8324607329842932,0.4336283185840708,0.888268156424581,0.48514851485148514,0.5670583433590836,98,128,636,80,3
64,tanh,0.3,8,tanh,0.1,0.45,0.7696390658174098,0.6856212130125301,0.550561797752809,0.8206806282722513,0.41702127659574467,0.8868458274398868,0.4745762711864407,0.5642196286890467,98,137,627,80,3
32,relu,0.2,16,relu,0.1,0.45,0.7526539278131635,0.6773045473263133,0.5561797752808989,0.7984293193717278,0.391304347826087,0.8853410740203193,0.4593967517401392,0.5639171869445005,99,154,610,79,3
64,relu,0.2,8,relu,0.0,0.45,0.7664543524416136,0.6836578622271898,0.550561797752809,0.8167539267015707,0.4117647058823529,0.8863636363636364,0.47115384615384615,0.5633013014606395,98,140,624,80,3
64,tanh,0.3,8,tanh,0.0,0.45,0.7537154989384289,0.6758044590858285,0.550561797752809,0.8010471204188482,0.392,0.884393063583815,0.45794392523364486,0.559754150244132,98,152,612,80,3
64,tanh,0.2,8,tanh,0.0,0.45,0.7494692144373672,0.6731866580387081,0.550561797752809,0.7958115183246073,0.3858267716535433,0.8837209302325582,0.4537037037037037,0.5586132672000622,98,156,608,80,3
64,tanh,0.3,8,relu,0.0,0.45,0.7802547770700637,0.6878566386258015,0.5393258426966292,0.8363874345549738,0.4343891402714932,0.8862690707350902,0.48120300751879697,0.55853833163995,96,125,639,82,3
64,tanh,0.2,16,relu,0.1,0.45,0.7738853503184714,0.6839299370551208,0.5393258426966292,0.8285340314136126,0.42290748898678415,0.8853146853146853,0.4740740740740741,0.5566048261973431,96,131,633,82,3
32,tanh,0.3,16,relu,0.1,0.45,0.772823779193206,0.6832754867933408,0.5393258426966292,0.8272251308900523,0.42105263157894735,0.8851540616246498,0.4729064039408867,0.5562884504042034,96,132,632,82,3
64,relu,0.2,16,tanh,0.0,0.45,0.7823779193205945,0.6870110006470969,0.5337078651685393,0.8403141361256544,0.4377880184331797,0.8855172413793103,0.4810126582278481,0.5547765075907148,95,122,642,83,3
64,relu,0.3,8,relu,0.1,0.45,0.767515923566879,0.6800032354844403,0.5393258426966292,0.8206806282722513,0.41201716738197425,0.8843441466854725,0.46715328467153283,0.5547304537227259,96,137,627,82,3
64,relu,0.3,8,tanh,0.0,0.45,0.772823779193206,0.681120948291076,0.5337078651685393,0.8285340314136126,0.42035398230088494,0.8840782122905028,0.47029702970297027,0.5518550935062811,95,131,633,83,3
32,relu,0.2,16,relu,0.0,0.45,0.772823779193206,0.681120948291076,0.5337078651685393,0.8285340314136126,0.42035398230088494,0.8840782122905028,0.47029702970297027,0.5518550935062811,95,131,633,83,3
64,relu,0.2,8,tanh,0.0,0.45,0.7664543524416136,0.6771942467203953,0.5337078651685393,0.8206806282722513,0.40948275862068967,0.8830985915492958,0.4634146341463415,0.5499826308241256,95,137,627,83,3
64,tanh,0.2,16,tanh,0.1,0.45,0.7653927813163482,0.6765397964586152,0.5337078651685393,0.819371727748691,0.40772532188841204,0.8829337094499294,0.46228710462287104,0.5496759970985418,95,138,626,83,3
32,tanh,0.2,16,relu,0.0,0.45,0.772823779193206,0.6789664097888111,0.5280898876404494,0.8298429319371727,0.41964285714285715,0.883008356545961,0.46766169154228854,0.5474204890203624,94,130,634,84,3
32,relu,0.3,16,tanh,0.1,0.45,0.7866242038216561,0.6853197246896876,0.5224719101123596,0.8481675392670157,0.4449760765550239,0.8840381991814461,0.4806201550387597,0.5472918896720916,93,116,648,85,3
64,relu,0.2,16,relu,0.1,0.45,0.7749469214437368,0.6781207718101065,0.5224719101123596,0.8337696335078534,0.42272727272727273,0.8822714681440443,0.46733668341708545,0.5436272187134003,93,127,637,85,3
32,relu,0.3,16,tanh,0.0,0.45,0.7749469214437368,0.6781207718101065,0.5224719101123596,0.8337696335078534,0.42272727272727273,0.8822714681440443,0.46733668341708545,0.5436272187134003,93,127,637,85,3
32,relu,0.2,8,tanh,0.0,0.45,0.7738853503184714,0.6774663215483264,0.5224719101123596,0.8324607329842932,0.42081447963800905,0.8821081830790569,0.46616541353383456,0.5433050493521179,93,128,636,85,3
64,relu,0.3,8,tanh,0.1,0.45,0.7866242038216561,0.6831651861874228,0.5168539325842697,0.849476439790576,0.4444444444444444,0.8829931972789116,0.4779220779220779,0.5428752344909178,92,115,649,86,3
64,relu,0.2,8,tanh,0.1,0.45,0.7696390658174098,0.674848520501206,0.5224719101123596,0.8272251308900523,0.41333333333333333,0.8814504881450488,0.46153846153846156,0.5420333745122262,93,132,632,85,3
