threshold,accuracy,balanced_accuracy,precision_ppv,recall_sensitivity,specificity,npv,f1_positive,TP,FP,TN,FN,support
0.467,0.5456475583864119,0.6638772868992293,0.2743682310469314,0.8539325842696629,0.4738219895287958,0.9329896907216495,0.41530054644808745,152,402,362,26,942
0.468,0.5477707006369427,0.6651861874227896,0.2753623188405797,0.8539325842696629,0.47643979057591623,0.9333333333333333,0.4164383561643835,152,400,364,26,942
0.469,0.5488322717622081,0.6658406376845697,0.27586206896551724,0.8539325842696629,0.47774869109947643,0.9335038363171355,0.4170096021947874,152,399,365,26,942
0.47,0.5488322717622081,0.6658406376845697,0.27586206896551724,0.8539325842696629,0.47774869109947643,0.9335038363171355,0.4170096021947874,152,399,365,26,942
0.471,0.5498938428874734,0.6643405494440849,0.2755474452554745,0.848314606741573,0.4803664921465969,0.9314720812182741,0.4159779614325069,151,397,367,27,942
0.472,0.5520169851380042,0.6656494499676451,0.2765567765567766,0.848314606741573,0.4829842931937173,0.9318181818181818,0.41712707182320435,151,395,369,27,942
0.473,0.554140127388535,0.6669583504912053,0.2775735294117647,0.848314606741573,0.4856020942408377,0.9321608040201005,0.41828254847645435,151,393,371,27,942
0.474,0.5562632696390658,0.6682672510147656,0.2785977859778598,0.848314606741573,0.4882198952879581,0.9325,0.4194444444444444,151,391,373,27,942
0.475,0.5583864118895966,0.6695761515383257,0.2796296296296296,0.848314606741573,0.4908376963350785,0.9328358208955224,0.4206128133704735,151,389,375,27,942
0.476,0.5583864118895966,0.6695761515383257,0.2796296296296296,0.848314606741573,0.4908376963350785,0.9328358208955224,0.4206128133704735,151,389,375,27,942
0.477,0.5573248407643312,0.6667671627742808,0.2782931354359926,0.8426966292134831,0.4908376963350785,0.9305210918114144,0.4184100418410042,150,389,375,28,942
0.478,0.5583864118895966,0.667421613036061,0.2788104089219331,0.8426966292134831,0.49214659685863876,0.9306930693069307,0.41899441340782123,150,388,376,28,942
0.479,0.559447983014862,0.6680760632978411,0.27932960893854747,0.8426966292134831,0.49345549738219896,0.9308641975308642,0.4195804195804196,150,387,377,28,942
0.48,0.5605095541401274,0.6687305135596211,0.2798507462686567,0.8426966292134831,0.49476439790575916,0.9310344827586207,0.4201680672268907,150,386,378,28,942
0.481,0.5605095541401274,0.6687305135596211,0.2798507462686567,0.8426966292134831,0.49476439790575916,0.9310344827586207,0.4201680672268907,150,386,378,28,942
0.482,0.5615711252653928,0.6693849638214012,0.2803738317757009,0.8426966292134831,0.49607329842931935,0.9312039312039312,0.42075736325385693,150,385,379,28,942
0.483,0.5615711252653928,0.6693849638214012,0.2803738317757009,0.8426966292134831,0.49607329842931935,0.9312039312039312,0.42075736325385693,150,385,379,28,942
0.484,0.5615711252653928,0.6693849638214012,0.2803738317757009,0.8426966292134831,0.49607329842931935,0.9312039312039312,0.42075736325385693,150,385,379,28,942
0.485,0.5626326963906582,0.6678848755809166,0.2800751879699248,0.8370786516853933,0.4986910994764398,0.9292682926829269,0.4197183098591549,149,383,381,29,942
0.486,0.5626326963906582,0.6678848755809166,0.2800751879699248,0.8370786516853933,0.4986910994764398,0.9292682926829269,0.4197183098591549,149,383,381,29,942
0.487,0.564755838641189,0.6691937761044768,0.2811320754716981,0.8370786516853933,0.5013089005235603,0.9296116504854369,0.42090395480225995,149,381,383,29,942
0.488,0.5658174097664543,0.6676936878639921,0.2808349146110057,0.8314606741573034,0.5039267015706806,0.927710843373494,0.4198581560283688,148,379,385,30,942
0.489,0.5668789808917197,0.6683481381257721,0.2813688212927757,0.8314606741573034,0.5052356020942408,0.9278846153846154,0.4204545454545455,148,378,386,30,942
0.49,0.5679405520169851,0.6690025883875522,0.2819047619047619,0.8314606741573034,0.506544502617801,0.9280575539568345,0.42105263157894735,148,377,387,30,942
0.491,0.5711252653927813,0.6709659391728926,0.2835249042145594,0.8314606741573034,0.5104712041884817,0.9285714285714286,0.4228571428571429,148,374,390,30,942
0.492,0.5743099787685775,0.670774751455968,0.28433268858800775,0.8258426966292135,0.5157068062827225,0.9270588235294117,0.423021582733813,147,370,394,31,942
0.493,0.5743099787685775,0.6686202129537031,0.283495145631068,0.8202247191011236,0.5170157068062827,0.9250585480093677,0.42135642135642143,146,369,395,32,942
0.494,0.5753715498938429,0.6692746632154833,0.2840466926070039,0.8202247191011236,0.518324607329843,0.9252336448598131,0.42196531791907516,146,368,396,32,942
0.495,0.5764331210191083,0.6677745749749986,0.2837573385518591,0.8146067415730337,0.5209424083769634,0.9234338747099768,0.42089985486211895,145,366,398,33,942
0.496,0.5764331210191083,0.6677745749749986,0.2837573385518591,0.8146067415730337,0.5209424083769634,0.9234338747099768,0.42089985486211895,145,366,398,33,942
0.497,0.5764331210191083,0.6656200364727336,0.2829076620825147,0.8089887640449438,0.5222513089005235,0.9214780600461894,0.41921397379912667,144,365,399,34,942
