outcome,threshold,prevalence,net_benefit_model,net_benefit_screen_all,net_benefit_screen_none,net_benefit_model_minus_all,net_benefit_model_minus_none,standardized_net_benefit_model
perpetration,0.5,0.2346072186836518,-0.3205944798301486,-0.5307855626326963,0.0,0.21019108280254767,-0.3205944798301486,-1.3665158371040722
perpetration,0.51,0.2346072186836518,-0.3221110100090992,-0.5620260843190779,0.0,0.23991507430997866,-0.3221110100090992,-1.3729799612152553
perpetration,0.52,0.2346072186836518,-0.3179405520169852,-0.5945682944090589,0.0,0.2766277423920737,-0.3179405520169852,-1.3552036199095023
perpetration,0.53,0.2346072186836518,-0.31901341645209386,-0.6284952793964855,0.0,0.3094818629443917,-0.31901341645209386,-1.3597766438817755
perpetration,0.54,0.2346072186836518,-0.2993630573248408,-0.6638973506877135,0.0,0.3645342933628727,-0.2993630573248408,-1.2760180995475114
perpetration,0.55,0.2346072186836518,-0.2861523944326494,-0.7008728473696628,0.0,0.41472045293701343,-0.2861523944326494,-1.2197083961789852
perpetration,0.56,0.2346072186836518,-0.27301679212507246,-0.739529048446246,0.0,0.46651225632117355,-0.27301679212507246,-1.16371863430687
perpetration,0.57,0.2346072186836518,-0.25341924653137793,-0.7799832123636001,0.0,0.5265639658322222,-0.25341924653137793,-1.0801852046722082
perpetration,0.58,0.2346072186836518,-0.23708421797593762,-0.8223637650389239,0.0,0.5852795470629863,-0.23708421797593762,-1.0105580693815983
perpetration,0.59,0.2346072186836518,-0.22942882295064984,-0.8668116617471904,0.0,0.6373828387965406,-0.22942882295064984,-0.9779273810837654
perpetration,0.6,0.2346072186836518,-0.2176220806794055,-0.9134819532908702,0.0,0.6958598726114648,-0.2176220806794055,-0.927601809954751
perpetration,0.61,0.2346072186836518,-0.20169851380042467,-0.9625455931188414,0.0,0.7608470793184167,-0.20169851380042467,-0.8597285067873305
perpetration,0.62,0.2346072186836518,-0.18806570566543743,-1.0141915297798636,0.0,0.8261258241144261,-0.18806570566543743,-0.8016194331983804
perpetration,0.63,0.2346072186836518,-0.17593389567911857,-1.0686291386928328,0.0,0.8926952430137143,-0.17593389567911857,-0.7499082793200439
perpetration,0.64,0.2346072186836518,-0.15109695682944094,-1.1260910592120783,0.0,0.9749941023826374,-0.15109695682944094,-0.6440422322775265
perpetration,0.65,0.2346072186836518,-0.1396724294813467,-1.186836518046709,0.0,1.0471640885653624,-0.1396724294813467,-0.5953458306399484
perpetration,0.66,0.2346072186836518,-0.13650555763706762,-1.25115523916573,0.0,1.1146496815286624,-0.13650555763706762,-0.5818472185254194
perpetration,0.67,0.2346072186836518,-0.12944733963842248,-1.3193720645949947,0.0,1.189924724956572,-0.12944733963842248,-0.5517619635266695
perpetration,0.68,0.2346072186836518,-0.1261942675159236,-1.3918524416135882,0.0,1.2656581740976647,-0.1261942675159236,-0.5378959276018102
perpetration,0.69,0.2346072186836518,-0.11694404492842951,-1.4690089719882193,0.0,1.3520649270597898,-0.11694404492842951,-0.49846737702525157
perpetration,0.7,0.2346072186836518,-0.09978768577494689,-1.5513092710544936,0.0,1.4515215852795467,-0.09978768577494689,-0.4253393665158369
perpetration,0.71,0.2346072186836518,-0.08891573321619443,-1.6392854528149934,0.0,1.5503697195987989,-0.08891573321619443,-0.378998283663598
perpetration,0.72,0.2346072186836518,-0.07597816196542309,-1.733545647558386,0.0,1.6575674855929627,-0.07597816196542309,-0.32385261797026493
perpetration,0.73,0.2346072186836518,-0.06691829834080362,-1.834788078949437,0.0,1.7678697806086334,-0.06691829834080362,-0.28523546170604985
perpetration,0.74,0.2346072186836518,-0.06271435570798628,-1.9438183896782617,0.0,1.8811040339702754,-0.06271435570798628,-0.2673163940132266
perpetration,0.75,0.2346072186836518,-0.05520169851380043,-2.061571125265393,0.0,2.0063694267515926,-0.05520169851380043,-0.23529411764705885
perpetration,0.76,0.2346072186836518,-0.04511677282377919,-2.189136588818118,0.0,2.1440198159943384,-0.04511677282377919,-0.1923076923076923
perpetration,0.77,0.2346072186836518,-0.03244715222006831,-2.327794701375427,0.0,2.2953475491553585,-0.03244715222006831,-0.13830415109187488
perpetration,0.78,0.2346072186836518,-0.03252267901949431,-2.479058096892492,0.0,2.446535417872998,-0.03252267901949431,-0.1386260798025504
perpetration,0.79,0.2346072186836518,-0.033060357901122245,-2.644727530077849,0.0,2.611667172176727,-0.033060357901122245,-0.14091790562378803
perpetration,0.8,0.2346072186836518,-0.033970276008492575,-2.826963906581742,0.0,2.7929936305732492,-0.033970276008492575,-0.14479638009049775
victimization,0.01,0.49363057324840764,0.4885157305539471,0.4885157305539471,0.0,0.0,0.4885157305539471,0.9896383186705767
victimization,0.02,0.49363057324840764,0.4832965033147017,0.4832965033147017,0.0,0.0,0.4832965033147017,0.9790651744568796
victimization,0.03,0.49363057324840764,0.4779696631426883,0.4779696631426883,0.0,0.0,0.4779696631426883,0.968274027269704
victimization,0.04,0.49363057324840764,0.47253184713375795,0.47253184713375795,0.0,0.0,0.47253184713375795,0.957258064516129
victimization,0.05,0.49363057324840764,0.4669795507877975,0.4669795507877975,0.0,0.0,0.4669795507877975,0.9460101867572156
victimization,0.06,0.49363057324840764,0.46130912047702943,0.46130912047702943,0.0,0.0,0.46130912047702943,0.9345229924502403
victimization,0.07,0.49363057324840764,0.4555167454283953,0.4555167454283953,0.0,0.0,0.4555167454283953,0.9227887617065557
victimization,0.08,0.49363057324840764,0.4495984491830518,0.4495984491830518,0.0,0.0,0.4495984491830518,0.9107994389901823
victimization,0.09,0.49363057324840764,0.4435500804927557,0.4435500804927557,0.0,0.0,0.4435500804927557,0.898546614675647
victimization,0.1,0.49363057324840764,0.43736730360934184,0.43736730360934184,0.0,0.0,0.43736730360934184,0.8860215053763442
victimization,0.11,0.49363057324840764,0.43104558791955916,0.43104558791955916,0.0,0.0,0.43104558791955916,0.8732149329467198
victimization,0.12,0.49363057324840764,0.4245801968731905,0.4245801968731905,0.0,0.0,0.4245801968731905,0.8601173020527859
victimization,0.13,0.49363057324840764,0.417966176147595,0.417966176147595,0.0,0.0,0.417966176147595,0.8467185761957732
victimization,0.14,0.49363057324840764,0.4111983409865205,0.4111983409865205,0.0,0.0,0.4111983409865205,0.8330082520630158
victimization,0.15,0.49363057324840764,0.4042712626451854,0.4042712626451854,0.0,0.0,0.4042712626451854,0.8189753320683111
victimization,0.16,0.49363057324840764,0.3971792538671519,0.3971792538671519,0.0,0.0,0.3971792538671519,0.8046082949308755
